h,a,y,relative_error
1,1.15337e1,0.079327626965728525707383727183980244841880721948479320329883194222796336983132631290026246431419380007450372059038548846640780585913843393885882188216,1.00081e-32
1,1.22910e1,0.07932762696572852570738372718398103868153440119864188705391831073591807526566158490883257041482200722000394535852532195693271572553780754082385739610342,1.00229e-36
1,1.30061e1,0.07932762696572852570738372718398103876103557700074969146438692264527486917159071270686939866366614386946673898419710662281569095518085038377896819498284,1.00087e-40
1.25,4.20820e0,0.0528248863047450163228081701213421021450460179362682320531430365822219609571746037340779199323749992330924662363264820701829161189154272450277076762211,1.00082e-8
1.25,5.35195e0,0.05282488683337475621264511436870394223079874860572050165009723276262486651875629535668154858286538902068825751459522785798837074441019454527054076106851,1.00090e-12
1.25,6.31133e0,0.05282488683342762355961244189246105797777133988648842772173840186408662421402582396297083489643353304067296079554171645683357697011934377767126681969734,1.00043e-16
1.25,7.15254e0,0.05282488683342762884385712336879632638531837635490274240479784213128548486463042487373052365898076362881927042250576769213408286920185242386622650505546,1.00191e-20
1.25,7.91035e0,0.05282488683342762884438632908201914023691617870710796581341738693041549612982559320344843246115078909444966282478361967370598856937586959847529345166673,1.00201e-24
1.25,8.60527e0,0.05282488683342762884438638200759025736414103023043905037038073008583519531476372407001760095240731146243099642419790287419384814135863953222335507829209,1.00010e-28
1.25,9.25020e0,0.05282488683342762884438638201287274796464500673474427520957494379597562736280614844780061582739437328522510457293031939573559118632337230073572439936423,1.00229e-32
1.25,9.85488e0,0.05282488683342762884438638201287327737092306350812631513949582627620765416192872694656962288256195337626562280159538126976269025862985491852782118566568,1.00108e-36
1.25,1.04258e1,0.05282488683342762884438638201287327742379958098899183184812905792353220736843085229788475867787922500960444078837443584182385478897741221383430470040118,1.00008e-40
1.5,3.53841e0,0.03340360029993846844464779787845581426095198615898696364760915469277275275616603476295036467539903059338493454534807596231570762668080142125966856858126,1.00136e-8
1.5,4.48649e0,0.03340360063439562889204230018333140098372632639834275682652496448120381406834745261069998793806246752987711629695703058148708339249827522343368718756874,1.00002e-12
1.5,5.28255e0,0.03340360063442902966082150837816108081204859649231677369552340521106198406303080382977349849616998861358824786575330583468339703384551904580669979841685,1.00032e-16
1.5,5.98128e0,0.03340360063442903300191276393767539771549103272035392303241471962672740611614815617273609975068678514556627171576216844884590673816600649283660153979252,1.00066e-20
1.5,6.61100e0,0.03340360063442903300224698705590622219017375797693182561790550380779502060561511091166601130310523387146042764018515190312488833708429125009443835052446,1.00091e-24
1.5,7.18864e0,0.03340360063442903300224702048660222673435887067236218777687881379968192840035391239730106437410063049588653333996146427700610567990627220272249207700364,1.00014e-28
