h,a,y,relative_error
0.515625,2.06349e1,0.1515290865144396146125553081289017323884447962339731724062906398628238905551676733601516330549139653123278418074974216003926161316291172633197940425854,1.00065e-28
0.515625,2.22135e1,0.1515290865144396146125553081440630269011467111499142394034778141767709785275266266104019240648116638858186060212232846810391344993721060371973353103842,1.00183e-32
0.515625,2.36918e1,0.1515290865144396146125553081440645448123224035740717277595217964316377693379217909140892975439435146896018074246965306498853972345067553665108518316198,1.00108e-36
0.515625,2.50862e1,0.1515290865144396146125553081440645449639992791786078694074348238694160702693462247435500276590774004807845557611467091303585907379550966024937246688911,1.00036e-40
0.53125,9.50230e0,0.1488113856942345000320817269392299991642282435106256095174406018099160135671402591568653394734646192297372960160991470883635754003413523761224981895191,1.00057e-8
0.53125,1.22652e1,0.1488113871830548966287100955377850594769351107269805075568449688833582959177859999938579150463408349207167888388307082847141852175531715677908138504289,1.00165e-12
0.53125,1.45666e1,0.1488113871832039385347454344948874947373079365548135120631534178683114009914270347679374704626988614902235895210613249369839482146779443482931520022602,1.00190e-16
0.53125,1.65767e1,0.1488113871832039534426068726994697148334775525980657436739928084960932136227159746953522686574113079616209512511985066684973342793328296307630908694678,1.00191e-20
0.53125,1.83824e1,0.148811387183203953444097672430274706920019233840364159068349435634886161141669894838783086077724614873883752652186483825923114551123620435591776968153,1.00201e-24
0.53125,2.00349e1,0.1488113871832039534440978215262925345595548316643447368434946470528903980759251272900033175292410823323301713353610180787478392168147205045604126545995,1.00030e-28
0.53125,2.15666e1,0.1488113871832039534440978215411766354296795594483194874482434292048045096366899789846463382530098065067781357798084649108006141407301036786865699990203,1.00144e-32
0.53125,2.30009e1,0.148811387183203953444097821541178125541370858797777726984088392545783730733007709898987730694662620436770066450175249980708496993884011466764489049344,1.00119e-36
0.53125,2.43539e1,0.1488113871832039534440978215411781256903451089640489494159745193600840768932075379892372422337067336067889741350107552301068083675276695739455979697916,1.00147e-40
0.546875,9.24330e0,0.1461161515923198118983023237676956326788583911404883263860164805834614059081130181224406360046316040013568722278234279116078038477216611339481286747983,1.00049e-8
0.546875,1.19250e1,0.1461161530540578808991406568560886303790042807585952636543396543264479715408244900904772430460548321629720017505765794795852997703695985956347112611388,1.00104e-12
0.546875,1.41594e1,0.14611615305420413453851203247366583476968858114584608335643255190038800576717965405806258562428655693791815865845539789446552487575435414571248824047,1.00084e-16
0.546875,1.61112e1,0.1461161530542041491609110527243359738582757568093971743519582399508920712324209871254522908696003801232482560544451314410242021706262525801363076011458,1.00037e-20
0.546875,1.78643e1,0.1461161530542041491623726046564568044446375437045739210337844317497317139660116712099768136040752322603797176902788930955701517599371966146716242496699,1.00135e-24
0.546875,1.94688e1,0.1461161530542041491623727509556579666974562448024964842982853526272109095797778073872736644533060405277847554304738335785031474661105956407710422681962,1.00167e-28
0.546875,2.09567e1,0.1461161530542041491623727509702924693767116673292112198752199340861889394022624080410293953139333021768767404862689054404479125874395769631608075546074,1.00011e-32
0.546875,2.23496e1,0.1461161530542041491623727509702939305540410485557479730135865634004346221772792018252776169696130886751456083015738111032651365869510137899492010630642,1.00037e-36
0.546875,2.36634e1,0.1461161530542041491623727509702939307001966712034675127348665527143903605239184374305978358595977875590537587175931084341795212448495763859555361007157,1.00163e-40
