h,a,T
0.0009765625,3,0.1987915811524614289954324937996199975406442958128761436755231275367387211
0.0009765625,3.25,0.20249217288495589661778840379122072609411053012630982203222396538745243796
0.0009765625,3.5,0.20570696799040182170270252660899448751248596159462777628958332764864080282
0.0009765625,3.75,0.20852355658101062040792940697366256084405054116665882091672115499408374645
0.0009765625,4,0.21101013124781060169749208902057035184350433329439301522086546578121095124
0.0009765625,4.25,0.21322045547719796211178977009589207328347623295764904754422108789110542969
0.0009765625,4.5,0.21519741485464054580478720542601443641581700576618150651836176749274945967
0.0009765625,4.75,0.21697558940844842314661115141918965204644393319778708392223231068098968352
0.0009765625,5,0.2185831414513898948131351813073160033251068199550573825549959983939968887
0.0009765625,5.25,0.22004321860781448355615885067338355984491000585440034320867525486512646498
0.0009765625,5.5,0.22137500907630359872069031403973346592861311621160391769085104212058553752
0.0009765625,5.75,0.22259454434170819887797614438839473611567914890231904708276354947773769694
0.0009765625,6,0.22371531629983993073452034497662019292236843767093921408106339160962455933
0.0009765625,6.25,0.22474875645838674804266919178426228720081856229339015053951444478037890274
0.0009765625,6.5,0.22570461153656941551818042237690183271443457367771951835672204077996760014
0.0009765625,6.75,0.22659124045589851551103647362315818671589116373110306130087074375474756729
0.0009765625,7,0.2274158511148266538023391793593031235989310792172185471545888521474359508
0.0009765625,7.25,0.22818469062058469553821442818211300877892046724192696087225535048334271894
0.0009765625,7.5,0.22890319924082861802399244994075460141819811512250833397683400800659084907
0.0009765625,7.75,0.22957613584806814581538954305154529099890895461115766749105391952305439019
0.0009765625,8,0.23020768079502374868423986104090555231741191136841018679500911062807741889
0.0009765625,8.25,0.23080152079446009601478697757689849184389794598219995137044230203897221371
0.0009765625,8.5,0.23136091935333352258257062041933053463056062120975804092818710627605338159
0.0009765625,8.75,0.23188877553676006097356946019105568042705510062251171086555380214458429416
0.0009765625,9,0.23238767324700396931761273184684819711515596277740823853712389716338410884
0.0009765625,9.25,0.23285992274930496657663560040953396788162542846612661896012190139528172114
0.0009765625,9.5,0.23330759582566794893308512359508516414622105731672225735116058122726930728
0.0009765625,9.75,0.23373255566463709555179698999156406043060163234476773141237632759609887009
0.0009765625,10,0.23413648238102758886824104572483065660829135184296467928987183680142305336
0.0009765625,10.25,0.23452089489079217764313731078647885446251152882738172255123305706098514789
0.0009765625,10.5,0.23488716973230895548636232727649276131367659033245231489137191932882915991
0.0009765625,10.75,0.23523655731857855369709604432674273145722350402494089493216292720059314445
0.0009765625,11,0.23557019601917576661897823458999277988679073520366791422501713034458910769
0.0009765625,11.25,0.23588912440177088970120926147966408978592143371652333116311988669528430848
0.0009765625,11.5,0.2361942919071248734873136735227890746908737698529333407686522327431127133
0.0009765625,11.75,0.23648656818596462073270176591061673440519496732675451719419648374918073549
0.0009765625,12,0.23676675128895474821639130673491542269804737245383357638578729610030841754
0.0009765625,12.25,0.23703557487045210840222198346911579264136448098828141951425561320059149466
0.0009765625,12.5,0.23729371454156315387145685190127591482431525402889022668433587745810889125
0.0009765625,12.75,0.23754179348719719503355408724244621819228195366262601590952399567598220873
0.0009765625,13,0.23778038744450689785963395391973455442866379280803404248734008294080076023
0.0009765625,13.25,0.23801002912568159680752786331861073564742886502618072296143243961722236588
0.0009765625,13.5,0.23823121215598869648381065320288231724493340074956748469878449796540476149
0.0009765625,13.75,0.23844439458782470206806216085092158923792264404869507642246110496769022358
0.0009765625,14,0.2386500020430017114596062844707303235655135347219270582465789130422750412
0.0009765625,14.25,0.23884843052828284270448707790904712781716213033299155593274941966946964343
0.0009765625,14.5,0.23904004896306734564517263476991986084648983657883245348507002667141068099
0.0009765625,14.75,0.23922520145293018277335211575004925353986703037378970432835537511700744345
0.0009765625,15,0.23940420933829163911723463388218578893885072329577756937513943885048612603
0.0009765625,15.25,0.23957737304370654070614112002956197743642282072944440468903414652343758585
0.0009765625,15.5,0.23974497375001793129062891970474929343436742612752191724905973062804120124
0.0009765625,15.75,0.23990727490883206917428550394411516327965753059620722904034695843126321926
0.0009765625,16,0.24006452361637012246132721916975905471461764445739486740639955193647381102
0.0009765625,16.25,0.2402169518616784090975944187718018659321583909318905490270597572284623741
0.0009765625,16.5,0.2403647776623844939940861334007814831708606987313680775356601506937308949
0.0009765625,16.75,0.24050820609962987514081293006521455645679153434072125869643841800336269086
0.0009765625,17,0.24064743026245685723509332833612704205539187679072511346957165978742018147
0.0009765625,17.25,0.24078263211074843734822810270508526199107869096353132240092201311117989378
0.0009765625,17.5,0.24091398326479102977779907253631818276147176991543540867426987790015040316
0.0009765625,17.75,0.24104164572862980891325006425326755771557507194426110667938700327267666064
0.0009765625,18,0.24116577255359766079280475910391203215522188141919629502960619652742735347
